鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
龍潭區,房地(土地+建物),桃園市龍潭區龍潭區渴望路243巷1~30號,0.33,,山坡地保育區,丙種建築用地,1041107,土地1建物1車位0,三層,7,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0880513,26.44,1,1,1,有,無,有,7500,284,,0.0,0,,RPROMLLKKIKFFCH08CC
桃園區,房地(土地+建物),桃園市桃園區大同西路8巷1~30號,101.0,住,,,1041205,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0591001,114.24,5,3,2,有,無,無,15000,131,,0.0,0,,RPXOMLLKKIKFFAH58DC
桃園區,房地(土地+建物)+車位,桃園市桃園區大林路31~60號,29.57,住,,,1041124,土地1建物1車位1,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0920724,41.07,3,2,2,有,有,有,18000,438,坡道平面,0.0,0,,RPOPMLLKKIKFFAH77DC
桃園區,房地(土地+建物),桃園市桃園區中埔一街61~90號,139.0,住,,,1041203,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0961218,398.18,4,1,4,有,無,無,62000,156,,0.0,0,,RPTOMLLKKIKFFAH08CC
桃園區,房地(土地+建物),桃園市桃園區成功路二段181~210號,20.71,商,,,1041211,土地1建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,1001110,326.48,0,0,0,無,無,無,63000,193,,0.0,0,,RPPNMLMKKIKFFAH67CC
龜山區,房地(土地+建物),桃園市龜山區文二一街1~30號,2885.0,住,,,1041212,土地1建物1車位0,八層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0920820,11.4,2,1,1,有,有,有,11000,965,,0.0,0,,RPRNMLMKKIKFFAH97DC
桃園區,土地,中德段1021~1050地號,12.55,住,,,1041204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,有,無,0,0,,0.0,0,,RPVPMLOKKIKFFAH78DC
大園區,房地(土地+建物),桃園市大園區平安路16巷3弄1~30號,79.0,住,,,1041205,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0640710,96.0,4,2,2,有,無,有,12000,125,,0.0,0,,RPSNMLOKKIKFFEH68DC
八德區,房地(土地+建物),桃園市八德區大和路91~120號,32.29,住,,,1041127,土地1建物1車位0,見其他登記事項,15,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0981016,302.22,0,0,0,無,有,無,55000,182,,0.0,0,,RPWPMLOKKIKFFFH76DC
八德區,房地(土地+建物),桃園市八德區大智路121~150號,11.17,住,,,1041204,土地1建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020821,159.57,3,2,2,有,有,有,18000,113,,0.0,0,與桃園所合併申報,RPXPMLOKKIKFFFH86DC
八德區,房地(土地+建物)+車位,桃園市八德區大智路121~150號,19.61,住,,,1041205,土地1建物1車位0,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001118,153.54,3,2,2,有,有,有,17000,111,坡道平面,30.76,0,,RPOQMLOKKIKFFFH68DC
